Model,Version,Prompt,Itr1,Itr2,Itr3,Itr4,Itr5,Itr6,Itr7,Itr8,Itr9,Itr10
codellama,base,zero,47.51,47.64,49.19,46.99,46.98,49.35,48.9,46.6,48.55,47.17
codellama,base,one,32.84,32.85,32.97,32.37,32.54,33.1,32.59,32.32,32.61,32.58
codellama,finetuned,zero,47.67,47.42,47.15,47.12,46.9,46.81,47.57,46.62,47.04,47.12
codellama,finetuned,one,32.82,32.67,32.52,32.38,32.57,33.18,32.23,32.25,32.61,33.25
llamachat,base,zero,13.36,35.6,28.8,29.45,87.94,21.87,22.7,13.35,48.98,90.58
llamachat,base,one,87.69,21.73,31.08,22.41,7.13,21.79,27.99,6.95,24.67,7.02
llamachat,finetuned,zero,24.45,60.66,32.79,37.07,88.33,21.69,26.86,35.53,16.4,35.09
llamachat,finetuned,one,23.97,43.38,19.62,23.43,27.46,21.88,34.05,6.95,32.63,25.0
gpt-4.1,n/a,zero,1.75,2.51,2.09,1.85,1.71,1.5,1.72,1.54,1.56,1.79
gpt-4.1,n/a,one,1.92,1.56,1.49,1.67,1.66,1.97,1.72,1.73,1.9,1.75
gpt-4o,n/a,zero,2.33,1.99,1.95,1.96,2.17,2.2,1.73,1.51,2.26,1.21
gpt-4o,n/a,one,3.69,3.15,2.35,2.2,2.36,2.0,2.12,2.07,2.75,2.37
gpt-5,n/a,zero,19.79,22.84,13.36,14.52,24.11,12.34,15.37,23.68,29.02,21.5
gpt-5,n/a,one,13.92,9.22,9.58,16.16,24.15,14.39,9.67,9.62,10.09,10.9
