Model,Version,Prompt,Itr1,Itr2,Itr3,Itr4,Itr5,Itr6,Itr7,Itr8,Itr9,Itr10
codellama,base,zero,25.86,26.15,26.17,26.21,26.63,25.72,25.66,25.75,25.71,25.7
codellama,base,one,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.22
codellama,finetuned,zero,26.89,26.27,26.24,27.08,25.59,25.74,25.75,25.58,25.69,25.66
codellama,finetuned,one,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22
llamachat,base,zero,18.77,26.4,90.68,42.46,19.54,15.13,41.09,87.79,30.54,79.4
llamachat,base,one,0.23,3.25,0.23,3.18,0.23,0.23,0.23,4.87,0.23,0.23
llamachat,finetuned,zero,34.53,21.0,89.15,25.86,67.97,34.57,41.84,39.27,67.3,32.75
llamachat,finetuned,one,0.23,0.23,4.81,0.23,0.23,0.22,4.8,7.4,0.23,0.23
gpt-4.1,n/a,zero,3.17,4.64,2.77,3.98,2.87,2.71,3.18,3.68,2.98,3.8
gpt-4.1,n/a,one,3.25,2.74,2.58,3.38,2.81,2.77,2.66,3.48,2.65,3.47
gpt-4o,n/a,zero,4.17,3.75,4.81,4.18,3.67,4.81,4.42,3.9,3.26,5.53
gpt-4o,n/a,one,3.43,3.8,3.44,4.21,3.69,3.49,3.67,3.88,3.7,3.68
gpt-5,n/a,zero,20.87,29.58,22.21,19.25,26.72,37.9,23.65,19.41,29.71,38.91
gpt-5,n/a,one,38.14,11.55,17.41,15.98,12.28,14.54,16.34,40.35,24.05,23.45
